#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
32,Belgium,"4,700,949",,"33,616                                ",,"4,654,517",+397,"12,816",43,"402,883","2,881","36,623,129","3,138,692","11,668,278 ",Europe,,23470,,,"1,098",
33,Czechia,"4,599,042",,"42,368                                ",,"4,548,708",,"7,966",26,"428,344","3,946","56,948,121","5,304,020","10,736,784 ",Europe,,22530,,,742,
34,Canada,"4,571,053",,"50,863                                ",,"4,480,111","+2,064","40,079",99,"119,074","1,325","66,343,123","1,728,207","38,388,419 ",North America,,87551,,,"1,044",
35,Peru,"4,484,362",+189,"219,311                                ",+6,"4,263,005",+178,"2,046",52,"133,130","6,511","37,927,199","1,125,964","33,684,208 ",South America,,81541,6,0.2,61,
36,Switzerland,"4,408,833",,"14,452                                ",,"4,370,447",+147,"23,934",45,"502,509","1,647","23,833,472","2,716,487","8,773,637 ",Europe,,26070,,,"2,728",
37,Philippines,"4,075,073",,"65,999                                ",,"3,999,982",,"9,092",162,"36,220",587,"34,495,669","306,604","112,508,994 ",Asia,,"281,7053",,,81,
38,South Africa,"4,060,077",,"102,595                                ",,"3,912,506",,"44,976",192,"66,826","1,689","26,473,049","435,726","60,756,135 ",Africa,,155922,,,740,
39,Romania,"3,331,005",,"67,650                                ",,"3,257,356",,"5,999",106,"175,027","3,555","26,530,228","1,394,029","19,031,335 ",Europe,,62811,,,315,
40,Denmark,"3,174,425",,"8,221                                ",,"3,165,119",,"1,085",19,"544,036","1,409","129,178,197","22,138,698","5,834,950 ",Europe,,27100,,,186,
41,Hong Kong,"2,881,801",,"13,431                                ",,"2,786,808",,"81,562",28,"378,970","1,766","76,127,725","10,011,143","7,604,299 ",Asia,,35660,,,"10,726",
42,Sweden,"2,697,159",,"23,604                                ",,"2,668,148",,"5,407",6,"263,936","2,310","19,458,009","1,904,106","10,218,971 ",Europe,,44331,,,529,
43,Serbia,"2,482,671",,"17,754                                ",,"2,451,714",,"13,203",23,"286,914","2,052","12,292,841","1,420,642","8,653,016 ",Europe,,34871,,,"1,526",
44,Iraq,"2,465,545",,"25,375                                ",,"2,439,497",,673,21,"58,474",602,"19,544,451","463,523","42,164,965 ",Asia,,"171,6622",,,16,
45,Singapore,"2,222,006",,"1,722                                ",,"2,149,583",,"70,701",1,"373,852",290,"24,756,666","4,165,302","5,943,546 ",Asia,,"33,4520",,,"11,895",
46,New Zealand,"2,199,579",,"3,839                                ",,"2,189,031",,"6,709",,"449,058",784,"7,768,604","1,586,011","4,898,203 ",Australia/Oceania,,"21,2761",,,"1,370",
47,Hungary,"2,194,102",,"48,738                                ",,"2,141,720",,"3,644",6,"228,403","5,074","11,394,556","1,186,160","9,606,259 ",Europe,,41971,,,379,
48,Bangladesh,"2,037,730",,"29,445                                ",,"1,998,448",,"9,837",N/A,"12,138",175,"15,254,399","90,862","167,885,689 ",Asia,,"825,70211",,,59,
49,Slovakia,"1,862,025",+102,"20,993                                ",+2,"1,840,043",+73,989,16,"341,018","3,845","7,398,286","1,354,950","5,460,193 ",Europe,,32601,19,0.4,181,
50,Georgia,"1,822,045",,"16,950                                ",,"1,776,548",,"28,547",,"459,099","4,271","16,920,079","4,263,340","3,968,738 ",Asia,,22340,,,"7,193",
51,Jordan,"1,746,997",,"14,122                                ",,"1,731,007",,"1,868",59,"169,597","1,371","17,201,885","1,669,945","10,300,869 ",Asia,,67291,,,181,
52,Ireland,"1,701,617",,"8,602                                ",,"1,690,745",+363,"2,270",18,"338,954","1,713","13,003,038","2,590,144","5,020,199 ",Europe,,35840,,,452,
53,Pakistan,"1,576,641",+37,"30,641                                ",,"1,538,689",,"7,311",11,"6,870",134,"30,570,862","133,213","229,488,994 ",Asia,,"1467,4908",0.2,,32,
54,Norway,"1,478,536",,"5,112                                ",,"1,472,744",,680,20,"268,270",928,"11,002,430","1,996,315","5,511,370 ",Europe,,"41,0781",,,123,
55,Finland,"1,461,583",,"8,859                                ",,"1,450,694",,"2,030",21,"263,113","1,595","12,041,358","2,167,677","5,554,960 ",Europe,,46270,,,365,
56,Kazakhstan,"1,407,088",+114,"13,845                                ",,"1,383,020",,"10,223",24,"73,267",721,"11,575,012","602,707","19,205,043 ",Asia,,"141,3872",6,,532,
57,Slovenia,"1,324,871",,"7,065                                ",,"1,314,889",,"2,917",5,"637,560","3,400","2,831,638","1,362,652","2,078,034 ",Europe,,22941,,,"1,404",
58,Lithuania,"1,301,338",,"9,566                                ",,"1,286,104",,"5,668",4,"488,911","3,594","10,365,156","3,894,175","2,661,708 ",Europe,,22780,,,"2,129",
59,Bulgaria,"1,296,119",,"38,201                                ",,"1,255,240",,"2,678",22,"189,364","5,581","11,026,559","1,610,987","6,844,597 ",Europe,,51791,,,391,
60,Morocco,"1,272,361",,"16,296                                ",,"1,256,018",,47,3,"33,685",431,"12,961,587","343,146","37,772,756 ",Africa,,"302,3183",,,1,
61,Croatia,"1,268,452",,"17,937                                ",,"1,249,976",,539,7,"312,482","4,419","5,499,444","1,354,781","4,059,286 ",Europe,,32261,,,133,
62,Guatemala,"1,233,173",,"20,154                                ",,"1,211,623",,"1,396",5,"66,357","1,084","6,856,917","368,968","18,584,039 ",North America,,159223,,,75,
63,Lebanon,"1,230,569",,"10,810                                ",,"1,087,587",,"132,172",74,"184,083","1,617","4,795,578","717,380","6,684,849 ",Asia,,56181,,,"19,772",
64,Costa Rica,"1,194,584",,"9,195                                ",,"860,711",,"324,678",52,"230,510","1,774","4,659,757","899,158","5,182,354 ",North America,,45641,,,"62,651",
65,Bolivia,"1,191,693",,"22,358                                ",,"1,153,671",,"15,664",220,"99,369","1,864","2,705,422","225,590","11,992,656 ",South America,,105364,,,"1,306",
66,Tunisia,"1,150,606",,"29,326                                ",,N/A,N/A,N/A,44,"95,512","2,434","4,999,230","414,989","12,046,656 ",Africa,,104112,,,936,
67,Cuba,"1,112,535",,"8,530                                ",,"1,103,930",,75,2,"98,405",754,"14,310,483","1,265,781","11,305,652 ",North America,,"101,3251",,,7,
68,Ecuador,"1,056,578",,"36,008                                ",,"1,015,231",,"5,339",759,"58,331","1,988","3,082,403","170,173","18,113,361 ",South America,,175036,,,295,
69,UAE,"1,050,736",,"2,348                                ",,"1,034,068",,"14,320",,"104,221",233,"198,983,258","19,736,908","10,081,785 ",Asia,,"104,2940",,,"1,420",
70,Uruguay,"1,033,766",,"7,617                                ",,"1,025,510",,639,18,"295,698","2,179","6,114,822","1,749,083","3,496,016 ",South America,,34591,,,183,
71,Panama,"1,030,658",,"8,600                                ",,"1,021,441",,617,16,"231,767","1,934","7,491,978","1,684,740","4,446,964 ",North America,,45171,,,139,
72,Mongolia,"1,007,895",,"2,179                                ",,"1,005,695",,21,192,"298,363",645,"4,030,048","1,193,000","3,378,078 ",Asia,,"31,5501",,,6,
73,Nepal,"1,001,125",,"12,020                                ",,"989,095",,10,,"33,122",398,"6,008,896","198,802","30,225,582 ",Asia,,"302,5155",,,0.3,
74,Belarus,"994,037",,"7,118                                ",,"985,592",,"1,327",,"105,381",755,"13,646,641","1,446,722","9,432,800 ",Europe,,"91,3251",,,141,
